date,event,location,result,fighter1,fighter2,method_of_victory,fight_duration,fight_format,f1_knockdown,f2_knockdown,f1_sig_strike_land,f2_sig_strike_land,f1_sig_strike_att,f2_sig_strike_att,f1_total_strike_land,f2_total_strike_land,f1_total_strike_att,f2_total_strike_att,f1_takedown_land,f2_takedown_land,f1_takedown_att,f2_takedown_att,f1_sub_att,f2_sub_att,f1_reversal,f2_reversal,f1_control_time,f2_control_time
"November 16, 2024",UFC 309: Jones vs. Miocic,"New York City, New York, USA",1,Bo Nickal,Paul Craig,Decision - Unanimous,900,3,0,0,54,47,85,129,54,48,85,130,0,0,0,0,0,0,0,0,0,0
"December 07, 2024",UFC 310: Pantoja vs. Asakura,"Las Vegas, Nevada, USA",0,Cody Durden,Joshua Van,Decision - Unanimous,900,3,0,0,70,165,217,304,74,184,223,323,2,0,8,0,0,0,0,0,194,20
"December 07, 2024",UFC 310: Pantoja vs. Asakura,"Las Vegas, Nevada, USA",0,Clay Guida,Chase Hooper,Submission,221,3,0,0,5,7,13,15,6,14,15,28,0,3,1,6,0,1,0,0,0,128
"November 16, 2024",UFC 309: Jones vs. Miocic,"New York City, New York, USA",1,Charles Oliveira,Michael Chandler,Decision - Unanimous,1500,5,0,0,88,84,122,113,117,150,153,181,5,0,12,1,2,0,0,0,892,119
"November 16, 2024",UFC 309: Jones vs. Miocic,"New York City, New York, USA",1,Jon Jones,Stipe Miocic,KO/TKO,869,5,1,0,96,37,119,89,104,42,128,94,1,0,1,0,0,0,0,0,231,0
"December 07, 2024",UFC 310: Pantoja vs. Asakura,"Las Vegas, Nevada, USA",1,Movsar Evloev,Aljamain Sterling,Decision - Unanimous,900,3,0,0,8,12,26,26,136,45,165,67,4,6,5,8,0,0,1,2,369,376
"December 07, 2024",UFC 310: Pantoja vs. Asakura,"Las Vegas, Nevada, USA",1,Michael Chiesa,Max Griffin,Submission,716,3,0,0,13,10,39,34,54,18,87,43,2,0,8,1,1,0,0,0,228,79
"December 07, 2024",UFC 310: Pantoja vs. Asakura,"Las Vegas, Nevada, USA",0,Chris Weidman,Eryk Anders,KO/TKO,591,3,1,0,16,62,36,102,27,121,50,193,0,0,1,6,1,0,0,0,135,264
"December 07, 2024",UFC 310: Pantoja vs. Asakura,"Las Vegas, Nevada, USA",1,Vicente Luque,Themba Gorimbo,Submission,52,3,0,0,2,5,6,9,2,5,6,9,0,0,0,0,1,0,0,0,14,0
"December 07, 2024",UFC 310: Pantoja vs. Asakura,"Las Vegas, Nevada, USA",1,Dominick Reyes,Anthony Smith,KO/TKO,586,3,0,0,121,21,162,46,172,24,232,49,0,0,0,4,0,0,0,0,231,1
"December 07, 2024",UFC 310: Pantoja vs. Asakura,"Las Vegas, Nevada, USA",0,Randy Brown,Bryan Battle,Decision - Split,900,3,0,0,60,57,111,110,80,109,135,175,2,0,5,6,0,0,0,0,106,445
"December 07, 2024",UFC 310: Pantoja vs. Asakura,"Las Vegas, Nevada, USA",1,Shavkat Rakhmonov,Ian Machado Garry,Decision - Unanimous,1500,5,0,0,37,42,67,84,65,102,102,157,2,1,10,2,0,2,1,0,701,152
"December 07, 2024",UFC 310: Pantoja vs. Asakura,"Las Vegas, Nevada, USA",0,Nate Landwehr,Dooho Choi,KO/TKO,801,3,0,0,25,78,67,116,32,114,77,157,0,4,0,5,0,0,0,0,42,433
"December 07, 2024",UFC 310: Pantoja vs. Asakura,"Las Vegas, Nevada, USA",1,Ciryl Gane,Alexander Volkov,Decision - Split,900,3,0,0,43,39,61,71,48,105,66,140,2,3,4,4,2,1,0,0,220,272
"November 02, 2024",UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",1,Serhiy Sidey,Garrett Armfield,Decision - Split,900,3,0,0,68,71,144,142,75,77,151,148,0,4,4,5,3,1,1,0,47,293
"November 02, 2024",UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",0,Chad Anheliger,Cody Gibson,Decision - Unanimous,900,3,0,0,11,16,19,34,59,59,77,93,0,5,0,6,0,2,0,0,0,745
"December 07, 2024",UFC 310: Pantoja vs. Asakura,"Las Vegas, Nevada, USA",1,Bryce Mitchell,Kron Gracie,KO/TKO,639,3,0,0,26,6,36,31,147,90,177,118,2,0,2,0,0,1,0,0,513,2
"November 02, 2024",UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",0,Jack Shore,Youssef Zalal,Submission,359,3,0,1,8,13,18,27,10,21,21,37,2,1,4,2,0,1,0,0,109,127
"November 02, 2024",UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",1,Alexandr Romanov,Rodrigo Nascimento,Decision - Unanimous,900,3,0,0,45,31,92,91,87,48,135,108,6,0,10,0,1,0,0,0,453,0
"November 02, 2024",UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",1,Charles Jourdain,Victor Henry,Submission,523,3,0,0,39,24,73,54,50,39,87,75,0,4,2,6,1,0,0,0,17,229
"December 07, 2024",UFC 310: Pantoja vs. Asakura,"Las Vegas, Nevada, USA",1,Alexandre Pantoja,Kai Asakura,Submission,425,5,0,0,32,17,52,29,33,30,53,44,3,0,7,0,1,0,0,0,166,24
